year,ALG,AND,ARG,AUS,AUT,AZE,BAH,BAR,BEL,BIH,BLR,BRA,BUL,CAN,CAY,CHI,CHN,CLB,COL,CRC,CRO,CUB,CZE,DEN,EGY,ESA,ESP,EST,FAR,FIN,FRA,FRO,GBR,GER,GRE,GUA,HKG,HUN,IRL,ISL,ISR,ISV,ITA,JAM,JPN,KAZ,KEN,KGZ,KOR,KUW,LAT,LTU,LUX,MAR,MAS,MEX,NED,NOR,NZL,PAN,PHI,PNG,POL,POR,PUR,ROC,ROU,RSA,RUS,SCG,SGP,SLO,SRB,SUI,SVK,SWE,SYR,THA,TPE,TTO,TUN,TUR,UKR,USA,VEN,VIE,YUG,ZIM
2003,0,0,10,106,15,0,2,1,0,0,19,24,0,66,0,1,63,0,0,0,6,1,5,5,0,0,22,0,0,10,33,0,75,85,17,0,0,44,2,3,8,0,45,0,82,0,0,0,3,0,1,4,0,0,2,1,32,0,6,2,0,0,17,1,2,0,26,14,76,0,0,28,0,6,12,19,0,0,0,8,6,0,63,207,6,0,3,5
2004,5,0,5,102,31,0,1,1,1,0,19,22,5,30,2,1,30,0,1,3,14,0,9,17,0,1,31,1,0,6,72,0,58,62,34,0,0,63,0,0,2,0,74,0,71,6,0,0,5,0,0,6,0,0,1,1,32,1,13,2,0,0,25,1,2,0,42,14,87,3,0,17,0,5,13,28,0,2,1,5,5,0,54,144,2,0,0,9
2005,11,1,3,120,15,0,0,3,0,0,3,13,4,52,1,2,36,0,0,4,13,0,0,13,2,0,43,6,0,9,75,0,37,55,40,1,0,24,0,2,4,0,87,0,100,8,0,0,11,1,3,7,0,0,2,0,22,6,22,0,3,2,39,6,0,0,21,28,62,3,0,38,0,8,3,20,0,0,4,0,9,2,25,155,0,0,0,11
2006,0,0,1,161,10,0,1,4,1,0,3,12,1,44,0,1,60,0,0,2,3,0,0,7,0,0,6,0,0,2,85,0,148,39,21,0,0,40,0,0,0,0,62,0,117,2,0,0,26,0,0,4,0,0,0,0,23,4,26,0,0,2,39,0,0,0,19,35,56,0,2,5,0,2,7,12,1,0,0,0,0,0,33,165,0,0,0,6
2007,2,0,8,120,22,0,0,3,1,0,8,44,6,75,0,1,47,0,0,0,2,0,1,12,0,0,14,1,0,3,59,0,72,44,11,0,0,33,0,0,0,0,54,0,80,2,4,0,12,0,0,5,0,0,0,7,23,6,18,0,0,3,25,2,1,0,13,30,66,0,2,15,3,7,0,32,0,0,0,2,0,0,38,236,13,0,0,12
2008,0,0,0,122,32,0,0,3,7,0,4,24,2,40,0,1,56,0,0,0,7,0,0,24,0,0,22,0,1,7,92,0,86,22,8,0,0,48,2,0,4,0,56,0,81,2,3,0,9,0,0,4,0,1,1,1,37,13,11,0,0,3,29,2,0,0,24,45,92,0,3,17,4,9,2,27,0,0,1,2,4,1,23,160,5,0,0,14
2009,0,0,2,94,19,0,0,1,1,0,6,79,1,45,2,5,74,0,3,0,6,0,3,35,0,0,26,1,0,4,64,2,90,58,3,0,1,48,3,0,5,0,60,0,99,4,6,0,7,0,0,9,0,0,1,1,26,6,12,0,0,1,23,5,0,0,10,40,54,0,2,9,13,1,0,22,0,0,5,4,9,1,16,154,8,0,0,11
2010,0,0,0,250,6,0,0,0,0,0,6,20,0,67,0,2,54,0,0,0,0,0,0,20,0,0,37,1,0,0,62,2,136,28,7,0,0,52,6,0,7,0,52,0,101,1,3,0,15,0,0,4,3,0,0,0,20,11,18,0,0,1,15,1,0,0,5,29,41,0,1,6,0,0,0,32,0,0,3,0,0,0,2,173,0,0,0,0
2011,0,0,0,122,6,0,1,0,0,0,8,43,0,31,2,2,118,0,0,0,0,1,2,22,0,0,19,0,0,0,69,2,91,33,2,0,0,56,0,0,0,1,33,0,145,0,6,0,10,0,0,7,0,0,0,0,59,6,11,0,0,0,14,0,0,0,0,17,36,0,0,1,2,3,0,23,0,0,0,3,14,0,6,269,0,0,0,4
2012,0,0,0,109,5,0,2,0,0,0,6,32,0,20,0,0,90,0,0,0,0,2,1,28,0,0,22,0,0,0,69,2,93,36,2,0,0,68,0,0,1,0,27,2,144,0,0,0,16,0,0,6,1,0,0,0,42,0,13,0,0,0,12,0,0,0,0,30,51,0,0,2,7,0,0,21,0,0,0,4,2,0,1,324,1,0,0,6
2013,0,0,0,154,0,0,0,0,0,0,7,27,0,28,0,1,90,0,0,0,0,0,3,42,0,0,35,0,0,3,51,2,94,38,0,0,0,72,0,0,0,0,39,0,130,0,0,0,0,0,0,13,0,0,0,0,18,0,15,0,0,0,15,0,0,0,0,23,70,0,1,2,4,0,0,35,0,0,0,2,3,0,17,262,4,0,0,0
2014,0,0,0,216,0,0,3,0,3,0,3,27,0,36,0,0,61,0,0,0,0,0,1,47,0,0,29,0,0,1,18,1,159,30,0,0,0,67,0,0,0,0,35,3,170,2,0,0,10,0,0,9,0,0,0,0,30,0,14,0,0,0,15,0,0,0,0,10,27,0,2,0,4,1,0,27,0,0,0,0,0,0,0,239,0,0,0,0
2015,0,0,4,178,0,0,7,0,5,0,3,34,0,31,0,0,71,0,0,0,0,0,4,42,2,0,6,0,0,0,27,1,109,41,2,0,0,107,0,3,1,0,33,5,137,6,0,0,1,0,0,10,0,0,0,0,44,1,15,0,0,0,20,0,0,0,0,30,62,0,4,0,3,0,1,29,0,0,0,0,0,6,5,210,0,0,0,0
2016,0,0,0,173,0,0,0,0,2,0,2,25,0,43,0,0,69,0,0,0,0,0,3,32,1,0,14,0,0,0,38,0,91,39,1,0,0,95,0,2,0,0,36,2,119,5,0,0,5,0,0,9,0,0,0,0,22,4,3,0,0,0,4,0,0,0,0,21,52,0,4,2,4,0,1,43,0,0,0,0,0,3,11,319,0,1,0,0
2017,1,0,1,102,3,0,0,0,0,0,1,36,2,49,0,0,111,0,0,0,1,0,2,15,2,0,24,0,0,4,15,0,79,25,5,0,2,93,0,0,0,0,45,0,134,0,0,0,16,0,0,11,0,0,0,0,18,5,0,0,0,0,19,0,0,0,0,11,117,0,5,0,0,6,0,59,0,0,0,0,0,0,12,269,0,0,0,0
2018,2,0,0,158,2,1,0,0,0,0,2,23,0,49,0,0,55,0,0,0,0,0,2,14,1,0,13,0,0,0,19,0,75,31,4,0,0,54,0,0,0,0,65,0,173,1,0,0,6,0,0,11,0,0,0,0,18,4,2,0,0,0,8,2,0,0,2,13,107,0,1,0,0,8,0,48,0,0,0,0,0,0,10,315,0,1,0,0
2019,0,0,2,173,0,2,0,0,1,0,7,35,0,46,0,0,72,0,0,0,2,0,4,10,0,0,7,0,0,0,20,0,61,29,5,1,4,113,0,0,0,0,67,0,108,4,0,0,2,0,0,17,0,0,0,0,21,5,2,0,0,0,5,1,0,0,1,23,105,0,0,0,1,8,0,48,0,0,2,0,0,2,7,276,0,1,0,0
2020,0,0,0,82,13,0,0,0,10,0,6,4,5,8,1,1,97,4,0,0,0,0,7,7,7,0,28,0,0,3,64,0,61,27,9,1,7,72,3,0,9,0,84,0,214,1,0,1,10,0,0,7,0,0,0,0,70,0,2,0,1,0,2,4,2,0,0,7,81,0,0,0,7,22,0,11,0,0,1,0,3,11,7,213,0,3,0,0
2021,0,0,0,163,8,0,0,0,0,0,6,16,5,38,0,0,85,0,0,0,0,0,4,13,0,0,8,0,0,7,30,0,103,26,7,1,8,60,0,0,2,0,76,0,77,1,0,0,6,0,0,3,0,0,0,0,45,0,5,0,0,0,13,0,0,31,9,17,55,0,0,0,0,16,0,27,0,0,2,0,3,1,6,316,0,1,0,0
2022,1,0,0,184,11,0,0,0,0,5,0,11,0,75,0,0,26,10,0,0,0,0,0,3,0,0,1,1,0,2,45,0,83,38,7,0,1,56,4,2,8,0,80,0,86,0,0,0,8,0,0,10,0,0,0,0,42,0,9,0,0,0,22,0,0,0,20,24,16,0,0,1,1,22,0,42,0,0,0,0,0,3,5,334,0,1,0,0
